3 100000
108477 0 0
108864 0 0
109251 0 0
109638 0 0
110025 0 0
110412 0 0
110799 0 0
111186 0 0
111573 0 0
111960 0 0
112347 0 0
112734 0 0
113121 0 0
113508 0 0
113895 0 0
114282 0 0
114669 0 0
115056 0 0
115443 0 0
115830 0 0
116217 0 0
116604 0 0
116991 0 0
117378 0 0
117765 0 0
118152 0 0
118539 0 0
118926 0 0
119313 0 0
119700 0 0
120087 0 0
120474 0 0
120861 0 0
121248 0 0
121635 0 0
122022 0 0
122409 0 0
122796 0 0
123183 0 0
123570 0 0
123957 0 0
124344 0 0
124731 0 0
125118 0 0
125505 0 0
125892 0 0
126279 0 0
126666 0 0
127053 0 0
127440 0 0
127827 0 0
128214 0 0
128601 0 0
128988 0 0
129375 0 0
129762 0 0
130149 0 0
130536 0 0
130923 0 0
131310 0 0
131697 0 0
132084 0 0
132471 0 0
132858 0 0
133245 0 0
133632 0 0
134019 0 0
134406 0 0
134793 0 0
135180 0 0
135567 0 0
135954 0 0
136341 0 0
136728 0 0
137115 0 0
137502 0 0
137889 0 0
138276 0 0
138663 0 0
139050 0 0
139437 0 0
139824 0 0
140211 0 0
140598 0 0
140985 0 0
141372 0 0
141759 0 0
142146 0 0
142533 0 0
142920 0 0
143307 0 0
143694 0 0
144081 0 0
144468 0 0
144855 0 0
145242 0 0
145629 0 0
146016 0 0
146403 0 0
146790 0 0
147177 0 0
147564 0 0
147951 0 0
148338 0 0
148725 0 0
149112 0 0
149499 0 0
149886 0 0
150273 0 0
150660 0 0
151047 0 0
151434 0 0
151821 0 0
152208 0 0
152595 0 0
152982 0 0
153369 0 0
153756 0 0
154143 0 0
154530 0 0
154917 0 0
155304 0 0
155691 0 0
156078 0 0
156465 0 0
156852 0 0
157239 0 0
157626 0 0
158013 0 0
158400 0 0
158787 0 0
159174 0 0
159561 0 0
159948 0 0
160335 0 0
160722 0 0
161109 0 0
161496 0 0
161883 0 0
162270 0 0
162657 0 0
163044 0 0
163431 0 0
163818 0 0
164205 0 0
164592 0 0
164979 0 0
165366 0 0
165753 0 0
166140 0 0
166527 0 0
166914 0 0
167301 0 0
167688 0 0
168075 0 0
168462 0 0
168849 0 0
169236 0 0
169623 0 0
170010 0 0
170397 0 0
170784 0 0
171171 0 0
171558 0 0
171945 0 0
172332 0 0
172719 0 0
173106 0 0
173493 0 0
173880 0 0
174267 0 0
174654 0 0
175041 0 0
175428 0 0
175815 0 0
176202 0 0
176589 0 0
176976 0 0
177363 0 0
177750 0 0
178137 0 0
178524 0 0
178911 0 0
179298 0 0
179685 0 0
180072 0 0
180459 0 0
180846 0 0
181233 0 0
181620 0 0
182007 0 0
182394 0 0
182781 0 0
183168 0 0
183555 0 0
183942 0 0
184329 0 0
184716 0 0
185103 0 0
185490 0 0
185877 0 0
186264 0 0
186651 0 0
187038 0 0
187425 0 0
187812 0 0
188199 0 0
188586 0 0
188973 0 0
189360 0 0
189747 0 0
190134 0 0
190521 0 0
190908 0 0
191295 0 0
191682 0 0
192069 0 0
192456 0 0
192843 0 0
193230 0 0
193617 0 0
194004 0 0
194391 0 0
194778 0 0
195165 0 0
195552 0 0
195939 0 0
196326 0 0
196713 0 0
197100 0 0
197487 0 0
197874 0 0
198261 0 0
198648 0 0
199035 0 0
199422 0 0
199809 0 0
200196 0 0
200583 0 0
200970 0 0
201357 0 0
201744 0 0
202131 0 0
202518 0 0
202905 0 0
203292 0 0
203679 0 0
204066 0 0
204453 0 0
204840 0 0
205227 0 0
205614 0 0
206001 0 0
206388 0 0
206775 0 0
207162 0 0
207549 0 0
207936 0 0
208323 0 0
208710 0 0
209097 0 0
209484 0 0
209871 0 0
210258 0 0
210645 0 0
211032 0 0
211419 0 0
211806 0 0
212193 0 0
212580 0 0
212967 0 0
213354 0 0
213741 0 0
214128 0 0
214515 0 0
214902 0 0
215289 0 0
215676 0 0
216063 0 0
216450 0 0
216837 0 0
217224 0 0
217611 0 0
217998 0 0
218385 0 0
218772 0 0
219159 0 0
219546 0 0
219933 0 0
220320 0 0
220707 0 0
221094 0 0
221481 0 0
221868 0 0
222255 0 0
222642 0 0
223029 0 0
223416 0 0
223803 0 0
224190 0 0
224577 0 0
224964 0 0
225351 0 0
225738 0 0
226125 0 0
226512 0 0
226899 0 0
227286 0 0
227673 0 0
228060 0 0
228447 0 0
228834 0 0
229221 0 0
229608 0 0
229995 0 0
