1 43942
162180 0 0
162180 2 0
162180 4 0
162390 1 0
162600 3 0
162810 1 0
163020 3 0
163230 1 0
163440 3 0
163650 1 0
163860 3 0
164070 1 0
164280 3 0
164490 0 0
164490 2 0
164490 4 0
164910 0 0
164910 2 0
164910 4 0
165330 0 0
165330 2 0
165330 4 0
165750 0 0
165750 2 0
165750 4 0
166170 0 0
166170 2 0
166170 4 0
166380 0 0
166380 2 0
166380 4 0
166590 0 0
166590 2 0
166590 4 0
166800 0 0
166800 2 0
166800 4 0
167010 0 0
167010 2 0
167010 4 0
167220 2 0
167430 0 0
167430 2 0
167430 4 0
167640 0 0
167640 2 0
167640 4 0
167850 0 0
167850 2 0
167850 4 0
168060 1 1680
168060 3 1680
169740 0 840
169740 4 840
170580 1 840
170580 3 840
171420 2 0
171630 0 0
171630 2 0
171630 4 0
172050 1 0
172050 3 0
172680 0 0
172680 2 0
172680 4 0
173100 1 0
173310 3 0
173520 1 0
173730 3 0
173940 1 0
174150 3 0
174360 1 0
174570 3 0
174780 1 0
174990 3 0
175200 0 0
175200 2 0
175200 4 0
175680 1 0
175680 3 0
176100 0 0
176100 2 0
176100 4 0
176310 1 0
176520 3 0
176730 1 0
176940 3 0
177150 1 0
177360 3 0
177570 1 0
177780 3 0
177990 1 0
178200 3 0
178410 0 0
178410 2 0
178410 4 0
178830 0 0
178830 2 0
178830 4 0
179250 0 0
179250 2 0
179250 4 0
179670 0 0
179670 2 0
179670 4 0
180090 0 0
180090 2 0
180090 4 0
180300 0 0
180300 2 0
180300 4 0
180510 0 0
180510 2 0
180510 4 0
180720 0 0
180720 2 0
180720 4 0
180930 0 0
180930 2 0
180930 4 0
181140 2 0
181350 0 0
181350 2 0
181350 4 0
181560 0 0
181560 2 0
181560 4 0
181770 0 0
181770 2 0
181770 4 0
181980 1 1680
181980 3 1680
183660 0 840
183660 4 840
184500 1 840
184500 3 840
185340 0 0
185760 0 0
186180 1 0
186600 0 0
187020 0 0
187440 1 0
187860 0 0
188280 1 0
188700 2 0
189120 2 0
189540 1 0
189960 2 0
190380 2 0
190800 1 0
191220 2 0
191640 1 0
192060 0 0
192480 0 0
192900 1 0
193320 0 0
193740 0 0
194160 1 0
194580 0 0
195000 1 0
195420 1 0
195840 1 0
196260 2 0
196680 1 0
197100 1 0
197520 2 0
197940 1 0
198360 2 0
198780 0 0
199200 0 0
199620 3 0
200040 0 0
200460 0 0
200880 3 0
201300 0 0
201720 3 0
202140 0 0
202560 0 0
202980 1 0
203400 0 0
203820 0 0
204240 1 0
204660 0 0
205080 1 0
205710 0 0
206130 0 0
206550 1 0
206970 0 0
207390 0 0
207810 1 0
208230 0 0
208650 1 0
209070 2 0
209490 2 0
209910 1 0
210330 2 0
210750 2 0
211170 1 0
211590 2 0
212010 1 0
212430 0 0
212850 0 0
213270 1 0
213690 0 0
214110 0 0
214530 1 0
214950 0 0
215370 1 0
215790 1 0
216210 1 0
216630 2 0
217050 1 0
217470 1 0
217890 2 0
218310 1 0
218730 2 0
219150 0 0
219570 0 0
219990 3 0
220410 0 0
220830 0 0
221250 3 0
221670 0 0
222090 3 0
222510 0 0
222930 0 0
223350 1 0
223770 0 0
224190 0 0
224610 1 0
225030 0 0
225450 1 2100
